La Rive,4,52.36026,4.90527,amsterdam
De Kas,3,52.352295,4.930351,amsterdam
Restaurant Vermeer,4,52.376479,4.900579,amsterdam
Enoteca,4,41.386821,2.196472,barcelona
Moments (inside Mandarin Oriental),4,41.390999,2.166679,barcelona
Hof Van Cleve,4,50.903648,3.509724,bruges
Comme Chez Soi,4,50.842428,4.345851,brussels
Villa Lorraine,4,50.799838,4.378588,brussels
Sixteen,4,41.888823,-87.626656,chicago
Longman & Eagle,2,41.930071,-87.707189,chicago
Alinea,4,41.913428,-87.648135,chicago
Sepia,3,41.88394,-87.642524,chicago
Naha,3,41.89101,-87.63129,chicago
Blackbird Restaurant,3,41.884276,-87.643533,chicago
Boka,3,41.913632,-87.648183,chicago
EL ideas,4,41.862647,-87.686828,chicago
North Pond,3,41.92987,-87.637465,chicago
L2O,4,41.92398,-87.636931,chicago
Moto Restaurant,4,41.88655,-87.651701,chicago
Mexique,3,41.895876,-87.666003,chicago
Spiaggia,4,41.900497,-87.624485,chicago
Travelle,3,41.888573,-87.627785,chicago
Au Cheval,2,41.88468,-87.647661,chicago
Girl & the Goat,2,41.884164,-87.647971,chicago
Cite,3,41.891436,-87.612145,chicago
GT Fish & Oyster,3,41.89179,-87.633925,chicago
Topolobampo,3,41.890563,-87.630885,chicago
Kong Hans Klder,4,55.678737,12.584001,copenhagen
Restaurant Era Ora,4,55.673257,12.591551,copenhagen
Kiin Kiin,4,55.691896,12.557242,copenhagen
AOC,4,55.683281,12.588829,copenhagen
Formel B,3,55.670676,12.535625,copenhagen
Sllerd Kro,4,55.813507,12.495165,copenhagen
Noma,4,55.6779,12.5963,copenhagen
Geranium,4,55.703136,12.571606,copenhagen
Le Sommelier,3,55.686262,12.591769,copenhagen
Kdbyens Fiskebar,2,55.667862,12.559252,copenhagen
The Fitzwilliam Hotel Dublin,3,53.339461,-6.261734,dublin
Restaurant Patrick Guilbaud,4,53.338352,-6.252895,dublin
Chapter One,3,53.354386,-6.264013,dublin
Bon Appetit,3,53.451669,-6.151796,dublin
L'Ecrivain Restaurant,4,53.336197,-6.248541,dublin
Roly's Bistro,3,53.329399,-6.232253,dublin
21212,4,55.956846,-3.179711,edinburgh
Martin Wishart,4,55.97548,-3.17043,edinburgh
David Bann Restaurant,1,55.949563,-3.183344,edinburgh
Pizza Express,2,55.980532,-3.179171,edinburgh
Zizzi's,2,55.943046,-3.208787,edinburgh
Enoteca Pinchiorri,4,43.769953,11.262259,florence
La Tenda Rossa,4,43.684159,11.129024,florence
Alle Murate,4,43.770736,11.258002,florence
Le Canard Nouveau,4,53.546012,9.913927,hamburg
Landhaus Scherrer,3,53.546146,9.916552,hamburg
Prinz Frederik Room,3,53.582071,9.99289,hamburg
Seven Seas,3,53.55973,9.80064,hamburg
Tin Lung Heen Restaurant,3,22.303381,114.160231,hong kong
Domani,4,22.277729,114.165031,hong kong
Caprice,4,22.286776,114.156631,hong kong
Lung King Heen,3,22.286776,114.156631,hong kong
Soba-ya Nikora,2,35.031297,135.746986,kyoto
Misogigawa,4,35.007499,135.771224,kyoto
La Trompette,3,51.491863,-0.255985,london
Pied a Terre,4,51.519124,-0.135097,london
Le Gavroche,4,51.511206,-0.155147,london
L'Autre Pied,3,51.51825,-0.152074,london
Quilon,3,51.498471,-0.137469,london
Hlne Darroze' at the Connaught Hotel,4,51.510151,-0.149573,london
L'Atelier De Joel Robuchon,4,51.513132,-0.128487,london
Restaurant Gordon Ramsay,4,51.485449,-0.161983,london
The Ledbury,3,51.516618,-0.200106,london
Chez Bruce,4,51.446028,-0.165606,london
Hibiscus,4,51.512737,-0.142108,london
Benares Restaurant,3,51.509828,-0.144465,london
Hakkasan Hanway Place,3,51.517188,-0.131664,london
Amaya Restaurant Grill & Bar,3,51.499159,-0.157284,london
Yauatcha,3,51.513531,-0.13516,london
Galvin at Windows,4,51.505486,-0.150087,london
